route,content_id,template,publication_availability,locale,version,condition,instance_kind,navigation_path,shortest_observed_link_depth,navigation_status,intended_payoff,reason_to_continue,default_inspection,expanded_inspection,desktop_inspection,mobile_inspection,evidence_path,existing_or_new_issue,severity,issue,disposition,affected_batch
/explore/atlas,/explore/atlas,app/explore/atlas/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Worldview Map,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/11-explore-atlas.jpg,existing,bounded review finding,"[{""id"":""B-copy-directory"",""routes"":[""/explore"",""/archetypes"",""/explore/atlas"",""/ai/atlas""],""finding"":""Counted headings, decorative ordinals and process-led opening blocks postpone actual directory content, particularly on mobile."",""bounded_next_action"":""Use existing Batch B to give linked readings early space and remove routine counts/ordinals without losing evidence.""}]",Batch B; no issued semantic change in A,B
/explore,/explore,app/explore/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,"One Foundation result, several supporting views",Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/12-explore.jpg,existing,bounded review finding,"[{""id"":""B-copy-directory"",""routes"":[""/explore"",""/archetypes"",""/explore/atlas"",""/ai/atlas""],""finding"":""Counted headings, decorative ordinals and process-led opening blocks postpone actual directory content, particularly on mobile."",""bounded_next_action"":""Use existing Batch B to give linked readings early space and remove routine counts/ordinals without losing evidence.""}]",Batch B; no issued semantic change in A,B
/explore/reference,/explore/reference,app/explore/reference/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/explore/reference""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Evidence-coded public postures,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/13-explore-reference.jpg,existing,bounded review finding,"[{""id"":""B-reference-evidence"",""routes"":[""/explore/reference"",""/explore/reference/alexander-wendt"",""/explore/reference/john-mearsheimer""],""finding"":""Routine coding/review metadata dominates introductions; explanatory evidence is confined to a narrow column and collapsed notes."",""bounded_next_action"":""Keep exact provenance available, use the available desktop region for fuller claim/rival/source explanation, and demote routine metadata.""},{""id"":""B-desktop-pseudo-overflow"",""routes"":[""/compare"",""/explore/reference"",""/futures"",""/perspectives"",""/references"",""/zh/explore/reference""],""finding"":""Desktop default/expanded document scrollWidth1476 at viewport1440; production recheck confirms."",""bounded_next_action"":""Remove or contain decorative hero pseudo-element overflow within the existing shared-layout scope after reviewing production correction evidence.""}]",Batch B; no issued semantic change in A,B
/feedback,/feedback,app/feedback/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/feedback""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,"Report a factual, privacy, or security problem.",Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/14-feedback.jpg,,,[],rendered; no structural issue found in checked states,B
/futures,/futures,app/futures/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,each trajectory reasoning is a native disclosure,finite route,"[""/"",""/method"",""/futures""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Twelve Trajectories,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/15-futures.jpg,existing,bounded review finding,"[{""id"":""B-publication-freshness"",""routes"":[""/futures"",""/cases""],""finding"":""Futures describes 2026 signals; case index explicitly has no inside-window Current Case. This pass verified rendering, not live source claims or freshness."",""bounded_next_action"":""Source/editor review must decide dated background status and exact latest-evidence scope; do not relabel as current automatically.""},{""id"":""B-desktop-pseudo-overflow"",""routes"":[""/compare"",""/explore/reference"",""/futures"",""/perspectives"",""/references"",""/zh/explore/reference""],""finding"":""Desktop default/expanded document scrollWidth1476 at viewport1440; production recheck confirms."",""bounded_next_action"":""Remove or contain decorative hero pseudo-element overflow within the existing shared-layout scope after reviewing production correction evidence.""}]",Batch B; no issued semantic change in A,B
/method,/method,app/method/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,How this inventory works,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/16-method.jpg,,,[],rendered; no structural issue found in checked states,B
/modules,/modules,app/modules/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/modules""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Add a focused issue read beside the Foundation,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/17-modules.jpg,existing,bounded review finding,"[{""id"":""B-detail-payoff"",""routes"":[""/ai/field-guide"",""/explore/realism"",""/modules"",""/perspectives""],""finding"":""Repeated process/baseline/qualification framing uses most or all first mobile viewport before substantive argument or available choice."",""bounded_next_action"":""Apply existing Batch B payoff-first edit to these exact templates; preserve one essential limitation and move full method below.""}]",Batch B; no issued semantic change in A,B
/,/,app/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/""]",0,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Choose where to start.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/18-root.jpg,,,[],rendered; no structural issue found in checked states,B
/perspectives,/perspectives,app/perspectives/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/perspectives""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Advise from a different seat.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/20-perspectives.jpg,existing,bounded review finding,"[{""id"":""B-detail-payoff"",""routes"":[""/ai/field-guide"",""/explore/realism"",""/modules"",""/perspectives""],""finding"":""Repeated process/baseline/qualification framing uses most or all first mobile viewport before substantive argument or available choice."",""bounded_next_action"":""Apply existing Batch B payoff-first edit to these exact templates; preserve one essential limitation and move full method below.""},{""id"":""B-desktop-pseudo-overflow"",""routes"":[""/compare"",""/explore/reference"",""/futures"",""/perspectives"",""/references"",""/zh/explore/reference""],""finding"":""Desktop default/expanded document scrollWidth1476 at viewport1440; production recheck confirms."",""bounded_next_action"":""Remove or contain decorative hero pseudo-element overflow within the existing shared-layout scope after reviewing production correction evidence.""}]",Batch B; no issued semantic change in A,B
/privacy,/privacy,app/privacy/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/privacy""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Your drafts and saved history stay in this browser.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/19-privacy.jpg,,,[],rendered; no structural issue found in checked states,B
/profile,/profile,app/profile/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,"empty, one record and multiple record states depend on local storage",finite route,"[""/"",""/profile""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Loading your Profile from this browser...,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/21-profile.jpg,,,[],rendered; no structural issue found in checked states,B
/quiz,/quiz,app/quiz/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/quiz""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Foundation,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/22-quiz.jpg,,,[],rendered; no structural issue found in checked states,B
/quiz/review,/quiz/review,app/quiz/review/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,matching local synthetic draft required for populated review; empty state is public,finite route,Direct-entry/state/translation boundary: no path in the observed empty-state graph,,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/23-quiz-review.jpg,,,[],rendered; no structural issue found in checked states,B
/references,/references,app/references/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/references""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,References,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/24-references.jpg,existing,bounded review finding,"[{""id"":""B-desktop-pseudo-overflow"",""routes"":[""/compare"",""/explore/reference"",""/futures"",""/perspectives"",""/references"",""/zh/explore/reference""],""finding"":""Desktop default/expanded document scrollWidth1476 at viewport1440; production recheck confirms."",""bounded_next_action"":""Remove or contain decorative hero pseudo-element overflow within the existing shared-layout scope after reviewing production correction evidence.""}]",Batch B; no issued semantic change in A,B
/world-stage,/world-stage,app/world-stage/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/world-stage""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Choose a starting point.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/26-world-stage.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/p-plus,P+,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/p-plus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Kairos,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,existing,bounded review finding,"[{""id"":""B-browse-personal-attribution"",""routes"":[""/archetypes/p-plus""],""finding"":""Browse-only archetype page says Your answers put power and timing first without a reader answer record."",""bounded_next_action"":""Describe what the reading prioritizes or make conditional wording; do not imply item evidence exists.""}]",Batch B; no issued semantic change in A,B
/archetypes/p-minus,P-,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/p-minus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Shi (勢),Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/r-plus,R+,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/r-plus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Grotian,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/r-minus,R-,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/r-minus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Concert,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/m-plus,M+,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/m-plus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Satyagraha,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/m-minus,M-,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/m-minus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Musyawarah,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/s-plus,S+,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/s-plus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Dirigisme,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes/s-minus,S-,app/archetypes/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/explore/atlas"",""/archetypes/s-minus""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Dependencia,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/25-archetype-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/explore/realism,realist,app/explore/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/explore/realism""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Realism,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/27-tradition-detail.jpg,existing,bounded review finding,"[{""id"":""B-detail-payoff"",""routes"":[""/ai/field-guide"",""/explore/realism"",""/modules"",""/perspectives""],""finding"":""Repeated process/baseline/qualification framing uses most or all first mobile viewport before substantive argument or available choice."",""bounded_next_action"":""Apply existing Batch B payoff-first edit to these exact templates; preserve one essential limitation and move full method below.""}]",Batch B; no issued semantic change in A,B
/explore/institutionalism,institutionalist,app/explore/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/explore/institutionalism""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Institutionalism,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/27-tradition-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/explore/constructivism,constructivist,app/explore/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/explore/constructivism""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Constructivism,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/27-tradition-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/explore/critical-political-economy,criticalPoliticalEconomy,app/explore/[slug]/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/explore/critical-political-economy""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Critical political economy,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/27-tradition-detail.jpg,,,[],rendered; no structural issue found in checked states,B
/explore/atlas/broad-spectrum-bridge-builder,broad-spectrum-bridge-builder,components/worldview-profile/worldview-profile-page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,reviewed case claims/sources disclosed within page; some patterns have no attached case,finite route,"[""/"",""/explore"",""/explore/atlas/broad-spectrum-bridge-builder""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Several Lenses,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/28-decision-pattern-detail.jpg,,,[],rendered; no structural issue found in checked states,B
